"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Brandon Powell","MIN","10.2","79.9","0.4","1.1","26.5","0.0","0.1","17.7"
"Damiere Byrd","CAR","7.7","103.4","0.5","0.0","0.4","0.0","0.0","17.5"
"DeAndre Carter","LV","8.6","102.1","0.4","0.5","7.1","0.0","0.2","17.3"
"Deven Thompkins","TB","6.3","85.9","0.4","0.0","16.6","0.2","0.0","16.8"
"Nelson Agholor","BAL","3.7","139.2","0.2","0.4","1.2","0.0","0.3","16.5"
"Jamison Crowder","NYG","3.4","141.2","0.1","0.1","1.0","0.0","0.1","16.2"
"Jalen Virgil","DEN","7.1","92.2","0.6","0.0","0.0","0.0","0.0","16.2"
"Equanimeous St. Brown","CHI","6.7","91.6","0.4","0.3","9.0","0.0","0.0","16.1"
"Scott Miller","ATL","6.7","96.8","0.3","0.5","5.3","0.1","0.0","15.7"
"Velus Jones Jr.","CHI","3.9","79.1","0.2","0.4","34.2","0.1","0.1","15.3"
"Ashton Dulin","IND","8.0","85.8","0.4","0.1","3.4","0.0","0.0","15.2"
"Tre'Quan Smith","NO","5.8","94.1","0.4","0.1","0.3","0.0","0.0","14.5"
"Cody Thompson","SEA","7.4","85.7","0.4","0.0","0.0","0.0","0.0","14.4"
"Jalen Reagor","MIN","7.5","70.1","0.3","2.9","15.3","0.1","0.1","14.4"
"Bryan Edwards","NO","7.7","82.8","0.3","0.0","1.3","0.0","0.0","14.3"
"Jalen Tolbert","DAL","3.8","104.3","0.2","0.7","3.6","0.0","0.1","14.1"
"Denzel Mims","DET","5.6","92.2","0.3","0.0","0.1","0.0","0.0","13.8"
"Kaylon Geiger Sr.","TB","5.5","70.7","0.4","0.0","6.1","0.1","0.0","13.4"
"Jakeem Grant Sr.","CLE","4.8","52.2","0.2","0.0","24.2","0.2","0.0","12.2"
"Montrell Washington","DEN","4.6","68.6","0.4","0.0","8.8","0.0","0.0","12.2"
"Simi Fehoko","DAL","5.7","62.5","0.5","0.0","0.8","0.0","0.0","11.9"
"Deonte Harty","BUF","2.6","92.4","0.2","1.6","8.3","0.0","0.3","11.8"
"Mike Strachan","IND","5.7","67.9","0.3","0.0","0.0","0.0","0.0","11.7"
"Ray-Ray McCloud III","SF","3.9","46.4","0.2","2.8","26.9","0.3","0.1","11.7"
"Dontayvion Wicks","GB","4.7","80.5","0.2","0.4","2.9","0.0","0.1","11.6"
"Dante Pettis","CHI","6.2","64.6","0.2","0.1","4.5","0.0","0.0","11.3"
"Byron Pringle","WAS","6.8","63.9","0.2","0.0","0.0","0.0","0.0","11.0"
"Darrius Shepherd","LAC","4.1","55.4","0.3","0.0","5.0","0.0","0.0","9.9"
"Lance McCutcheon","LAR","3.8","63.4","0.3","0.0","0.7","0.0","0.0","9.9"
"Kevin Austin Jr.","JAC","4.3","53.9","0.3","0.0","1.9","0.0","0.0","9.8"
"River Cracraft","MIA","4.6","51.0","0.2","0.1","0.7","0.0","0.0","8.8"
"KaVontae Turpin","DAL","3.6","45.8","0.3","0.0","4.3","0.0","0.0","8.8"
"Gunner Olszewski","PIT","2.3","39.6","0.2","0.0","24.1","0.0","0.1","8.6"
"Maurice Alexander","DET","3.6","48.3","0.3","0.0","0.0","0.0","0.0","8.6"
"Trinity Benson","DET","3.5","46.9","0.3","0.0","0.0","0.0","0.0","8.4"
"Isaiah Coulter","BUF","3.7","44.4","0.3","0.0","0.0","0.0","0.0","8.2"
"Dezmon Patmon","BUF","3.6","44.0","0.3","0.0","0.0","0.0","0.0","8.2"
